BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,100000,0.1,1.4,0.14,no,DualDQC,DualDQD
BF,5,1,100000,0.4,1.1,0.71,no,DualDQC,PPO
BF,5,1,100000,1.6,1.1,2.83,yes,DualDQC,QλC
BF,5,1,100000,2.0,1.1,3.56,yes,DualDQC,Q0C
BF,5,1,100000,2.8,1.1,5.03,yes,DualDQC,VPG
BF,5,1,100000,3.2,1.5,4.31,yes,DualDQC,DQC
BF,5,1,100000,8.2,1.1,14.61,yes,DualDQC,FreqC
BF,5,1,100000,10.8,1.1,19.05,yes,DualDQC,FreqD
BF,5,1,100000,0.3,1.1,0.55,no,DualDQD,PPO
BF,5,1,100000,1.5,1.1,2.73,yes,DualDQD,QλC
BF,5,1,100000,1.9,1.1,3.48,yes,DualDQD,Q0C
BF,5,1,100000,2.7,1.1,5.00,yes,DualDQD,VPG
BF,5,1,100000,3.1,1.4,4.25,yes,DualDQD,DQC
BF,5,1,100000,8.1,1.1,14.86,yes,DualDQD,FreqC
BF,5,1,100000,10.7,1.1,19.43,yes,DualDQD,FreqD
BF,5,1,100000,1.2,0.7,3.59,yes,PPO,QλC
BF,5,1,100000,1.6,0.6,4.89,yes,PPO,Q0C
BF,5,1,100000,2.4,0.6,7.57,yes,PPO,VPG
BF,5,1,100000,2.8,1.1,4.80,yes,PPO,DQC
BF,5,1,100000,7.8,0.6,23.98,yes,PPO,FreqC
BF,5,1,100000,10.4,0.7,31.08,yes,PPO,FreqD
BF,5,1,100000,0.4,0.7,1.19,no,QλC,Q0C
BF,5,1,100000,1.2,0.6,3.68,yes,QλC,VPG
BF,5,1,100000,1.6,1.2,2.72,yes,QλC,DQC
BF,5,1,100000,6.6,0.7,19.77,yes,QλC,FreqC
BF,5,1,100000,9.2,0.7,26.83,yes,QλC,FreqD
BF,5,1,100000,0.8,0.6,2.51,yes,Q0C,VPG
BF,5,1,100000,1.2,1.1,2.05,yes,Q0C,DQC
BF,5,1,100000,6.2,0.6,18.94,yes,Q0C,FreqC
BF,5,1,100000,8.8,0.7,26.14,yes,Q0C,FreqD
BF,5,1,100000,0.4,1.1,0.69,no,VPG,DQC
BF,5,1,100000,5.4,0.6,17.04,yes,VPG,FreqC
BF,5,1,100000,8.0,0.6,24.51,yes,VPG,FreqD
BF,5,1,100000,5.0,1.1,8.56,yes,DQC,FreqC
BF,5,1,100000,7.6,1.2,12.90,yes,DQC,FreqD
BF,5,1,100000,2.6,0.7,7.77,yes,FreqC,FreqD

